Year,Month,Date,ET0_mm,,,
2004,3,2004-04-03,166.6,,,
2004,4,2004-05-04,87.6,,,
2004,5,2004-06-04,40,,,
2004,6,2004-07-05,28.4,,,
2004,7,2004-08-05,25.2,,,
2004,8,2004-09-05,50.4,,,
2004,9,2004-10-06,87,,,
2004,10,2004-11-06,136.6,,,
2004,11,2004-12-07,190.6,,,
2004,12,2005-01-01,102,,,
2005,1,2005-02-01,231.8,,,
2005,2,2005-03-04,185.4,,,
2005,3,2005-04-04,148.8,,,
2005,4,2005-05-05,99,,,
2005,5,2005-06-05,50.4,,,
2005,6,2005-07-06,21.4,,,
2005,7,2005-08-06,28.8,,,
2005,8,2005-09-06,57.2,,,
2005,9,2005-10-07,85.8,,,
2005,10,2005-11-07,126.6,,,
2005,11,2005-12-08,189.4,,,
2005,12,2006-01-01,104,,,
2006,1,2006-02-01,254.2,,,
2006,2,2006-03-04,218.6,,,
2006,3,2006-04-04,153.2,,,
2006,4,2006-05-05,79.8,,,
2006,5,2006-06-05,37,,,
2006,6,2006-07-06,25.8,,,
2006,7,2006-08-06,34.6,,,
2006,8,2006-09-06,64.4,,,
2006,9,2006-10-07,134.2,,,
2006,10,2006-11-07,185.2,,,
2006,11,2006-12-08,251.4,,,
2006,12,2007-01-01,98.2,,,
2007,1,2007-02-01,259.6,,,
2007,2,2007-03-04,246,,,
2007,3,2007-04-04,160.6,,,
2007,4,2007-05-05,87,,,
2007,5,2007-06-05,36.6,,,
2007,6,2007-07-06,32.4,,,
2007,7,2007-08-06,31.6,,,
2007,8,2007-09-06,63,,,
2007,9,2007-10-07,106.2,,,
2007,10,2007-11-07,185,,,
2007,11,2007-12-08,221.6,,,
2007,12,2008-01-01,88.2,,,
2008,1,2008-02-01,262.2,,,
2008,2,2008-03-03,192.4,,,
2008,3,2008-04-03,165,,,
2008,4,2008-05-04,78.2,,,
2008,5,2008-06-04,35.4,,,
2008,6,2008-07-05,26.4,,,
2008,7,2008-08-05,33,,,
2008,8,2008-09-05,55,,,
2008,9,2008-10-06,120.8,,,
2008,10,2008-11-06,181.6,,,
2008,11,2008-12-07,163,,,
2008,12,2009-01-01,92,,,
2009,1,2009-02-01,286.4,,,
2009,2,2009-03-04,239.4,,,
2009,3,2009-04-04,147,,,
2009,4,2009-05-05,120.4,,,
2009,5,2009-06-05,41.6,,,
2009,6,2009-07-06,28.2,,,
2009,7,2009-08-06,27.8,,,
2009,8,2009-09-06,56.6,,,
2009,9,2009-10-07,80.6,,,
2009,10,2009-11-07,181.8,,,
2009,11,2009-12-08,191.2,,,
2009,12,2010-01-01,100.8,,,
2010,1,2010-02-01,265.6,,,
2010,2,2010-03-04,212.6,,,
2010,3,2010-04-04,144.8,,,
2010,4,2010-05-05,70,,,
2010,5,2010-06-05,34.4,,,
